long;lat;nombre;domicilio;observ;nro_est;horario;dire_norm;;;;;;;
-58,38539757;-34,60664735;Rivarola;Dr. Rodolfo Rivarola 175 entre Tte. Gral. Juan Domingo Perón y Bartolomé Mitre;Nueva estación! - Septiembre 2015;68;Estación automática: disponibilidad las 24 horas;175 RIVAROLA RODOLFO DR;;;;;;;
-58,37057662;-34,61338465;Belgrano;Balcarce 482 entre Belgrano y Venezuela;Nueva estación! - Septiembre 2015;57;Estación automática: disponibilidad las 24 horas;482 BALCARCE;;;;;;;
-58,41466775;-34,60708901;Sánchez de Bustamante;Sánchez de Bustamante y Perón Juan;Nueva estación! - Septiembre 2015;52;Estación automática: disponibilidad las 24 horas;SANCHEZ DE BUSTAMANTE y PERON JUAN D;;;;;;;
-58,42626664;-34,6074295;Hospital Italiano;Rawson entre Potosí y Díaz Vélez;Nueva estación! - Febrero 2016;82;Estación automática: disponibilidad las 24 horas;RAWSON y DIAZ VELEZ AV;;;;;;;
-58,41149532;-34,59022448;Coronel Díaz;Güemes 3328 y Coronel Diaz;Nueva estación! - Febrero 2016;59;Estación automática: disponibilidad las 24 horas;3328 GUEMES;;;;;;;
-58,41593968;-34,58721574;Julián Álvarez;Güemes 3822 entre Julián Álvarez y Araoz;Nueva estación! - Febrero 2016;65;Estación automática: disponibilidad las 24 horas;3822 GUEMES;;;;;;;
-58,37159486;-34,60549118;Perón;Perón Juan entre 25 de Mayo y Reconquista;Nueva estación! - Agosto 2015;48;Estación automática: disponibilidad las 24 horas;PERON JUAN D y RECONQUISTA;;;;;;;
-58,43462632;-34,57518967;Ministro Carranza;Santa Fe 5327 entre Dorrego y Arévalo;Nueva estación! - Octubre 2015;58;Estación automática: disponibilidad las 24 horas;5327 SANTA FE AV;;;;;;;
-58,42507243;-34,58937118;Plaza Palermo Viejo;Costa Rica y Malabia;Nueva estación! - Octubre 2015;56;Estación automática: disponibilidad las 24 horas;COSTA RICA y MALABIA;;;;;;;
-58,39492731;-34,60757265;Ayacucho;Ayacucho entre Perón Juan y Bartolomé Mitre;Nueva estación! - Enero 2016;76;Estación automática: disponibilidad las 24 horas;AYACUCHO y PERON JUAN D;;;;;;;
-58,39443968;-34,59414903;Riobamba;Riobamba y Juncal;Nueva estación! - Enero 2016;64;Estación automática: disponibilidad las 24 horas;RIOBAMBA y JUNCAL;;;;;;;
-58,43970922;-34,60316236;Padilla;Padilla y Warnes Av;Nueva estación! - Enero 2016;31;Estación automática: disponibilidad las 24 horas;PADILLA y WARNES AV;;;;;;;
-58,44944206;-34,59181912;Guzmán;Guzmán y Leiva;Nueva estación! - Enero 2016;94;Estación automática: disponibilidad las 24 horas;GUZMÁN y LEIVA;;;;;;;
-58,38284297;-34,60299577;Cerrito;Av. Roque Saenz Peña 1149 entre Libertad y Cerrito;"Nueva estación! - Febrero 2016 (antes figuraba con nombre ""Libertad"")";71;Estación automática: disponibilidad las 24 horas;1149 SAENZ PEÑA ROQUE AV;;;;;;;
-58,4342428;-34,60457178;Instituto Leloir;Av. Patricias Argentinas 401, entre Juana de Ibarbourou y Av. Machado;Nueva estación! - Febrero 2016;74;Estación automática: disponibilidad las 24 horas;401  PATRICIAS ARGENTINAS AV;;;;;;;
-58,37355746;-34,61078242;Colegio Nacional Buenos Aires;Bolivar entre Adolfo Alsina y Moreno;Nueva estación! - Febrero 2016;47;Estación automática: disponibilidad las 24 horas;251 BOLIVAR;;;;;;;
-58,37083437;-34,60908604;Ministerio de Economía;Balcarce 101 entre Av. Hipólito Yrigoyen y Alsina;Nueva estación! - Febrero 2016;61;Estación automática: disponibilidad las 24 horas;101 BALCARCE;;;;;;;
-58,37817354;-34,6020919;Esmeralda;Esmeralda 510;Nueva estación! - Febrero 2016;95;Estación automática: disponibilidad las 24 horas;510 ESMERALDA;;;;;;;
-58,40435606;-34,59586235;Ecuador;Ecuador 1200 y Mansilla;Nueva estación! - Febrero 2016;69;Estación automática: disponibilidad las 24 horas;ECUADOR y MANSILLA LUCIO NORBERTO;;;;;;;
-58,3745525;-34,61365039;Venezuela;Perú 490 y Venezuela;Nueva estación: 29/02/2016;72;Estación automática: disponibilidad las 24 horas;490 PERU;;;;;;;
-58,37272352;-34,59946925;Reconquista;Reconquista 716 y Av Córdoba;Nueva estación: 29/02/2016;63;Estación automática: disponibilidad las 24 horas;716 RECONQUISTA;;;;;;;
-58,43561549;-34,59628054;Malabia;Malabia 780 y Loyola;jun-16;99;Estación automática: disponibilidad las 24 horas;780 MALABIA;;;;;;;
-58,41158489;-34,60289114;Carlos Gardel;Guardia Vieja 3302;jun-16;96;Estación automática: disponibilidad las 24 horas;3302 GUARDIA VIEJA;;;;;;;
-58,42826759;-34,60081839;Yatay;Yatay 925 entre Humahuaca y Guardia Vieja;nov-16;121;Estación automática: disponibilidad las 24 horas;925 YATAY;;;;;;;
-58,39754707;-34,61749149;Pasco;Pasco 708 entre Chile y Av Independencia;jul-16;91;Estación automática: disponibilidad las 24 horas;708 PASCO;;;;;;;
-58,37087877;-34,61584741;Balcarce;Balcarce 683 entre Chile y Defensa;jun-16;81;Estación automática: disponibilidad las 24 horas;683 BALCARCE;;;;;;;
-58,37812172;-34,611714;Moreno;Moreno 834 entre Tacuarí y Piedras;jul-16;98;Estación automática: disponibilidad las 24 horas;834 MORENO;;;;;;;
-58,37253506;-34,5947531;Della Paolera;Carlos M. Della Paolera 297 entre Leandro N Alem y Eduardo Madero;nov-16;114;Estación automática: disponibilidad las 24 horas;297 DELLA PAOLERA CARLOS M;;;;;;;
-58,39547166;-34,60229012;Lavalle;Ayacucho 595 entre Tucumán y Lavalle;jun-16;84;Estación automática: disponibilidad las 24 horas;595 AYACUCHO;;;;;;;
-58,409034;-34,59461611;Aguero;Aguero y Mansilla;ene-16;85;Estación automática: disponibilidad las 24 horas;AGUERO Y MANSILLA;;;;;;;
-58,41385893;-34,59462914;Billinghurst;De la Cárcova 3508;jun-16;66;Estación automática: disponibilidad las 24 horas;3508 DE LA CARCOVA;;;;;;;
-58,42581644;-34,59267251;Aráoz;Aráoz 1413 entre Gorriti y Honduras;jun-16;70;Estación automática: disponibilidad las 24 horas;1413 ARAOZ;;;;;;;
-58,36962171;-34,59933746;Bouchard;Viamonte 101 y Bouchard;jul-16;55;Estación automática: disponibilidad las 24 horas;101 VIAMONTE;;;;;;;
-58,39078628;-34,58781205;Quintana;Manuel Quintana 600;nov-16;115;Estación automática: disponibilidad las 24 horas;600 QUINTANA MANUEL;;;;;;;
-58,40114778;-34,58367733;Hospital Rivadavia;Lucena Pereyra 2516 entre Las Heras y Pagano;ago-16;50;Estación automática: disponibilidad las 24 horas;2516 PEREYRA LUCENA;;;;;;;
-58,40423005;-34,61286709;Misiones;Misiones entre Adolfo Alsina y Moreno;Agosto de 2016;88;Estación automática: disponibilidad las 24 horas;MISIONES y ALSINA ADOLFO;;;;;;;
-58,38033824;-34,59141569;Suipacha y Arroyo;Arroyo y Suipacha;"Agosto 2016 - En Julio de 2017 cambió su nombre y ubicación. Antes era ""Arroyo""";78;Estación automática: disponibilidad las 24 horas;ARROYO y SUIPACHA;;;;;;;
-58,43031987;-34,62412955;Doblas;Doblas 608 y Valle;ago-16;80;Estación automática: disponibilidad las 24 horas;608 DOBLAS;;;;;;;
