long;lat;nombre;domicilio;nro_est;dire_norm;capacidad;cluster;lat_centroide;long_centroide
-58,42170461;-34,59822218;Acuna de Figueroa;Lavalle y Acuna de Figueroa;54;LAVALLE y ACUNA DE FIGUEROA FRANCISCO;12;4;-34,60324799;-58,41692913
-58,36962171;-34,59933746;Bouchard;Viamonte 101 y Bouchard;55;101 VIAMONTE;12;5;-34,60320526;-58,37034242
-58,42507243;-34,58937118;Plaza Palermo Viejo;Costa Rica y Malabia;56;COSTA RICA y MALABIA;10;8;-34,58900656;-58,42230475
-58,37057662;-34,61338465;Belgrano;Balcarce 482 entre Belgrano y Venezuela;57;482 BALCARCE;10;14;-34,61491153;-58,36574412
-58,43462632;-34,57518967;Ministro Carranza;Santa Fe 5327 entre Dorrego y Arevalo;58;5327 SANTA FE AV;12;21;-34,58015377;-58,43447518
-58,41149532;-34,59022448;Coronel Diaz;Guemes 3328 y Coronel Diaz;59;3328 GUEMES;12;16;-34,59505198;-58,40788385
-58,37115547;-34,6016385;25 de Mayo;25 de Mayo y Lavalle;60;25 DE MAYO y LAVALLE;12;5;-34,60320526;-58,37034242
-58,37083437;-34,60908604;Ministerio de Economia;Balcarce 101 entre Av. Hipolito Yrigoyen y Alsina;61;101 BALCARCE;24;5;-34,60320526;-58,37034242
-58,37690072;-34,59851552;Cordoba;Maipu 820;62;820 MAIPU;12;18;-34,59447543;-58,37628321
-58,37272352;-34,59946925;Reconquista;Reconquista 716 y Av Cordoba;63;716 RECONQUISTA;12;5;-34,60320526;-58,37034242
-58,39443968;-34,59414903;Riobamba;Riobamba y Juncal;64;RIOBAMBA y JUNCAL;12;22;-34,59897542;-58,39544593
-58,41593968;-34,58721574;Juliin alvarez;Guemes 3822 entre Juliin alvarez y Araoz;65;3822 GUEMES;12;8;-34,58900656;-58,42230475
-58,41385893;-34,59462914;Billinghurst;De la Circova 3508;66;3508 DE LA CARCOVA;12;16;-34,59505198;-58,40788385
-58,42547747;-34,63850092;Senillosa;Senillosa 1905 y zanartu;67;1905 SENILLOSA;10;3;-34,62800848;-58,42406389
-58,38539757;-34,60664735;Rivarola;Dr. Rodolfo Rivarola 175 entre Tte. Gral. Juan Domingo Peron y Bartolome Mitre;68;175 RIVAROLA RODOLFO DR;12;12;-34,60280939;-58,38223635
-58,40435606;-34,59586235;Ecuador;Ecuador 1200 y Mansilla;69;ECUADOR y MANSILLA LUCIO NORBERTO;10;16;-34,59505198;-58,40788385
-58,42581644;-34,59267251;Arioz;Arioz 1413 entre Gorriti y Honduras;70;1413 ARAOZ;12;8;-34,58900656;-58,42230475
-58,38284297;-34,60299577;Cerrito;Av. Roque Saenz Pena 1149 entre Libertad y Cerrito;71;1149 SAENZ PENA ROQUE AV;20;12;-34,60280939;-58,38223635
-58,3745525;-34,61365039;Venezuela;Peru 490 y Venezuela;72;490 PERU;18;2;-34,6137215;-58,37767926
-58,37170591;-34,63081221;Ruy Diaz de Guzmin;Ruy Diaz de Guzmin y Av. Martin Garcia;73;RUY DIAZ DE GUZMAN y GARCIA MARTIN AV;10;15;-34,62707235;-58,37307255
-58,4342428;-34,60457178;Instituto Leloir;Av. Patricias Argentinas 401, entre Juana de Ibarbourou y Av. Machado;74;401  PATRICIAS ARGENTINAS AV;24;17;-34,59927635;-58,43525663
-58,3989047;-34,61212359;Plaza Primero de Mayo;Pichincha entre Adolfo Alsina y Moreno;75;PICHINCHA y ALSINA ADOLFO;12;20;-34,61726355;-58,39861096
-58,39492731;-34,60757265;Ayacucho;Ayacucho entre Peron Juan y Bartolome Mitre;76;AYACUCHO y PERON JUAN D;12;13;-34,61087343;-58,39112781
-58,3948309;-34,61127031;Sarandi;Sarandi entre Adolfo Alsina e Hipolito Yrigoyen;77;SARANDI e YRIGOYEN HIPOLITO AV;12;13;-34,61087343;-58,39112781
-58,38033824;-34,59141569;Suipacha y Arroyo;Arroyo y Suipacha;78;ARROYO y SUIPACHA;12;18;-34,59447543;-58,37628321
-58,36396908;-34,61172068;Azucena Villaflor;Azucena Villaflor y Pierina Dealessi;79;VILLAFLOR AZUCENA y DEALESSI PIERINA;20;14;-34,61491153;-58,36574412
-58,43031987;-34,62412955;Doblas;Doblas 608 y Valle;80;608 DOBLAS;10;3;-34,62800848;-58,42406389
-58,37087877;-34,61584741;Balcarce;Balcarce 683 entre Chile y Defensa;81;683 BALCARCE;18;14;-34,61491153;-58,36574412
-58,42626664;-34,6074295;Hospital Italiano;Rawson entre Potosi y Diaz Velez;82;RAWSON y DIAZ VELEZ AV;12;10;-34,61326296;-58,42999121
-58,38841509;-34,60300444;Parani;Lavalle enttre Montevideo y Parani;83;LAVALLE y PARANA;12;12;-34,60280939;-58,38223635
-58,39547166;-34,60229012;Lavalle;Ayacucho 595 entre Tucumin y Lavalle;84;595 AYACUCHO;12;22;-34,59897542;-58,39544593
-58,409034;-34,59461611;Aguero;Aguero y Mansilla;85;AGUERO Y MANSILLA;12;16;-34,59505198;-58,40788385
-58,40172037;-34,62135608;Saavedra;Saavedra 1027 entre Carlos Calvo Y Humberto 1º;86;1027 SAAVDREA;12;20;-34,61726355;-58,39861096
-58,4315359;-34,61982854;Guayaquil;Guayaquil 213 y Doblas;87;213 GUAYAQUIL;10;10;-34,61326296;-58,42999121
-58,40423005;-34,61286709;Misiones;Misiones entre Adolfo Alsina y Moreno;88;MISIONES y ALSINA ADOLFO;12;6;-34,61401247;-58,40832707
-58,4053127;-34,58247238;Cabello;Cabello entre Cnel Diaz y Ortiz de Ocampo;89;CABELLO y DIAZ CNEL AV;12;23;-34,58245986;-58,40662574
-58,39936857;-34,58711721;Gutierrez;Juan Maria Gutierrez entre Aguero y Laprida;90;GUTIERREZ JUAN MARIA y AGUERO;12;1;-34,58845369;-58,39319024
-58,39754707;-34,61749149;Pasco;Pasco 708 entre Chile y Av Independencia;91;708 PASCO;12;20;-34,61726355;-58,39861096
-58,40501915;-34,63172469;Salcedo;Salcedo 2908 y Dean Funes;92;2908 SALCEDO;12;9;-34,63585199;-58,40822621
-58,39476949;-34,62060134;Carlos Calvo;Carlos Calvo y Sarandi;93;CALVO CARLOS y SARANDI;12;20;-34,61726355;-58,39861096
-58,44944206;-34,59181912;Guzmin;Guzmin y Leiva;94;GUZMaN y LEIVA;20;0;-34,5899847;-58,44848987
-58,37817354;-34,6020919;Esmeralda;Esmeralda 510;95;510 ESMERALDA;10;12;-34,60280939;-58,38223635
-58,41158489;-34,60289114;Carlos Gardel;Guardia Vieja 3302;96;3302 GUARDIA VIEJA;12;4;-34,60324799;-58,41692913
-58,42740141;-34,63525028;Avelino Diaz;Avelino Diaz 499 y Doblas;97;499 DIAZ AVELINO;10;3;-34,62800848;-58,42406389
-58,37812172;-34,611714;Moreno;Moreno 834 entre Tacuari y Piedras;98;834 MORENO;10;2;-34,6137215;-58,37767926
-58,43561549;-34,59628054;Malabia;Malabia 780 y Loyola;99;780 MALABIA;12;17;-34,59927635;-58,43525663
-58,43677115;-34,59270672;Castillo;Castillo 815 entre Thames y Serrano;100;815 CASTILLO;12;17;-34,59927635;-58,43525663
-58,4424227;-34,58904915;Fitz Roy;Fitz Roy 1092 y Loyola;101;1092 FITZ ROY;12;0;-34,5899847;-58,44848987
-58,44598675;-34,58643989;Roseti;Roseti 50 y Av Dorrego;102;50 ROSETI;12;0;-34,5899847;-58,44848987
-58,40353315;-34,57741462;Malba;Av Figueroa Alcorta y San Martin de Tours;103;FIGUEROA ALCORTA, PRES. AV. y SAN MARTIN DE TOURS;12;23;-34,58245986;-58,40662574
-58,45506219;-34,58754836;Federico Lacroze;Av Corrientes 6800 y Federico Lacroze;104;6900 CORRIENTES AV;20;0;-34,5899847;-58,44848987
-58,40096231;-34,63397763;15 de Noviembre;15 de Noviembre de 1889 2687 entre Catamarca y Jujuy;105;2687 15 DE NOVIEMBRE DE 1889;15;9;-34,63585199;-58,40822621
-58,39589747;-34,6151962;Rincon;Venezuela 2091 y Rincon;106;2091 REPUBLICA BOLIVARIANA DE VENEZUELA;12;20;-34,61726355;-58,39861096
-58,39594436;-34,63043769;Hospital Garrahan;Hospital Garrahan: Av Brasil y Pichincha;107;BRASIL AV y PICHINCHA AV;10;19;-34,63077868;-58,39062087
-58,35625741;-34,62878078;Usina del Arte;Caffarena Agustin y Don Pedro de Mendoza;108;CAFFARENA AGUSTIN y DON PEDRO DE MENDOZA;24;7;-34,63452619;-58,36182076
-58,42959068;-34,59669374;Lerma;Lerma 185 y Juliin alvarez;109;185 LERMA;12;17;-34,59927635;-58,43525663
-58,4154594;-34,6017606;Guardia Vieja;Guardia Vieja 3606 entre Billinghurst y Mario Bravo;110;3606 GUARDIA VIEJA;12;4;-34,60324799;-58,41692913
-58,36299966;-34,60496916;Macacha Guemes;Macacha Guemes y Juana Manso;111;GUEMES MACACHA y MANSO JUANA;20;5;-34,60320526;-58,37034242
-58,38076631;-34,6123893;9 de Julio;9 de Julio y Moreno;112;9 DE JULIO AV y MORENO;10;2;-34,6137215;-58,37767926
-58,42520466;-34,58566944;Guatemala;Guatemala 4799 entre J.L. Borges y Gurruchaga;113;4799 GUATEMALA;12;8;-34,58900656;-58,42230475
-58,37253506;-34,5947531;Della Paolera;Carlos M. Della Paolera 297 entre Leandro N Alem y Eduardo Madero;114;297 DELLA PAOLERA CARLOS M;20;18;-34,59447543;-58,37628321
-58,39078628;-34,58781205;Quintana;Manuel Quintana 600;115;600 QUINTANA MANUEL;10;1;-34,58845369;-58,39319024
-58,40259838;-34,59210424;Hospital Alemin;Beruti y Ecuador;116;BERUTI y ECUADOR;12;16;-34,59505198;-58,40788385
-58,37421801;-34,61994044;Humberto Primo;Peru 1016 entre Humberto Primo y Carlos Calvo;117;1016 PERU;10;2;-34,6137215;-58,37767926
-58,40282668;-34,61681258;Mexico;Saavedra y Mexico;118;MEXICO y SAAVEDRA;12;20;-34,61726355;-58,39861096
-58,39768427;-34,58837184;Emilio Mitre;Plaza Emilio Mitre - Larrea y Pacheco de Melo;119;LARREA y PACHECO DE MELO JOSE;12;1;-34,58845369;-58,39319024
-58,40911048;-34,61754909;Hospital Ramos Mejia;Agrelo entre  Gral. Urquiza, y Gral. La Rioja;120;URQUIZA GRAL y AGRELO;12;6;-34,61401247;-58,40832707
-58,42826759;-34,60081839;Yatay;Yatay 925 entre Humahuaca y Guardia Vieja;121;925 YATAY;12;17;-34,59927635;-58,43525663
-58,42040744;-34,59162446;Costa Rica;Costa Rica 4090 y Acuna de Figueroa;122;4090 COSTA RICA;12;8;-34,58900656;-58,42230475
-58,42104415;-34,58542422;Armenia;Armenia 2393 y Charcas;123;2393 ARMENIA;12;8;-34,58900656;-58,42230475
-58,41231356;-34,58108161;Ugarteche;Ugarteche entre Cabello y Las Heras;124;UGARTECHE y CABELLO;12;23;-34,58245986;-58,40662574
-58,42821717;-34,58348011;Oro;Fray Justo Santamaria de Oro y Guatemala;125;FRAY JUSTO SANTAMARIA DE ORO y GUATEMALA;10;21;-34,58015377;-58,43447518
-58,36943055;-34,63997121;Ministerio de Justicia y Seguridad;Regimiento de Patricios y Arioz de Lamadrid;126;REGIMIENTO DE PATRICIOS AV y ARAOZ DE LAMADRID GREGORIO;10;7;-34,63452619;-58,36182076
-58,45292683;-34,59221248;Santos Dumont y Otero;Santos Dumont 4380 y Otero;127;4380 DUMONT SANTOS;10;0;-34,5899847;-58,44848987
-58,36823197;-34,60412886;Plaza Hipolito Bouchard;Plaza Hipolito Bouchard - Av Eduardo Madero y Peron Juan;128;MADERO EDUARDO AV y PERON JUAN D;12;5;-34,60320526;-58,37034242
-58,43495487;-34,60016466;Velasco;Velasco 285 entre Juliin alvarez y Lavalleja;129;285 VELASCO RAMIREZ DE JUAN;12;17;-34,59927635;-58,43525663
-58,3742851;-34,59194086;Retiro II;Plaza Fuerza Aerea: Av. Dr. J. Ramos Mejia y Av Del Libertador;130;DEL LIBERTADOR AV y RAMOS MEJIA DR AV;40;18;-34,59447543;-58,37628321
-58,37421003;-34,59184649;Retiro III;Plaza Fuerza Aerea: Av. Dr. J. Ramos Mejia y Av Del Libertador;131;DEL LIBERTADOR AV y RAMOS MEJIA DR AV;10;18;-34,59447543;-58,37628321
-58,37367608;-34,60312087;Corrientes;Av Corrientes y San Martin;132;CORRIENTES AV y SAN MARTIN;12;5;-34,60320526;-58,37034242
-58,43438251;-34,58103992;Nicaragua;Nicaragua 5690 entre Bonpland y Fitz Roy;133;5690 NICARAGUA;12;21;-34,58015377;-58,43447518
-58,41551584;-34,61187588;Don Bosco;Don Bosco y Virrey LIniers;134;DON BOSCO y LINIERS VIRREY;12;6;-34,61401247;-58,40832707
-58,37976485;-34,59645576;Marcelo T. de Alvear;Marcelo T de Alvear y Suipacha;135;ALVEAR MARCELO T y SUIPACHA;12;18;-34,59447543;-58,37628321
-58,44290127;-34,59981257;Acevedo;Acevedo y Padilla;136;ACEVEDO y PADILLA;12;17;-34,59927635;-58,43525663
-58,36747001;-34,6159264;Azopardo y Chile;Azopardo 700 y Chile;137;AZOPARDO y CHILE;12;14;-34,61491153;-58,36574412
-58,38776667;-34,63494896;Hospital Britinico;Perdriel y Finochietto Enrique;138;PERDRIEL y FINOCHIETTO ENRIQUE DR.;12;19;-34,63077868;-58,39062087
-58,41315047;-34,63330898;Virrey Liniers;Salcedo 3401 y Virrey Liniers;139;3401 SALCEDO;12;9;-34,63585199;-58,40822621
